Id,Author,Grade,Common Core,Description,Educational Use,In Language,"Intended End Use
   Role",Interactivity Type,Is Based On Url,Learning Resource Type,Location,puvlisher,Time Required,Title,Use Rights Url
8867,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_rotate_002.pdf,,,geometry,
8868,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_rotate_003.pdf,,,geometry,
8869,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_rotate_004.pdf,,,geometry,
8870,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_rotate_005.pdf,,,geometry,
8871,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_translate_001.pdf,,,geometry,
8872,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_translate_002.pdf,,,geometry,
8873,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_translate_003.pdf,,,geometry,
8874,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_translate_004.pdf,,,geometry,
8875,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_translate_005.pdf,,,geometry,
8894,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_a.pdf,,,geometry,
8895,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_all.pdf,,,geometry,
8896,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_b.pdf,,,geometry,
8897,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_c.pdf,,,geometry,
